phecode,male_only,female_only
457,FALSE,FALSE
457.2,FALSE,FALSE
457.3,FALSE,FALSE
458,FALSE,FALSE
458.1,FALSE,FALSE
458.2,FALSE,FALSE
458.9,FALSE,FALSE
459,FALSE,FALSE
459.1,FALSE,FALSE
459.7,FALSE,FALSE
459.9,FALSE,FALSE
464,FALSE,FALSE
465,FALSE,FALSE
465.2,FALSE,FALSE
465.4,FALSE,FALSE
470,FALSE,FALSE
471,FALSE,FALSE
472,FALSE,FALSE
473,FALSE,FALSE
473.1,FALSE,FALSE
473.3,FALSE,FALSE
473.4,FALSE,FALSE
474,FALSE,FALSE
474.1,FALSE,FALSE
474.2,FALSE,FALSE
475,FALSE,FALSE
475.9,FALSE,FALSE
476,FALSE,FALSE
477,FALSE,FALSE
478,FALSE,FALSE
479,FALSE,FALSE
480,FALSE,FALSE
480.1,FALSE,FALSE
480.11,FALSE,FALSE
480.12,FALSE,FALSE
480.13,FALSE,FALSE
480.2,FALSE,FALSE
480.3,FALSE,FALSE
480.5,FALSE,FALSE
481,FALSE,FALSE
483,FALSE,FALSE
495,FALSE,FALSE
495.1,FALSE,FALSE
495.11,FALSE,FALSE
495.2,FALSE,FALSE
496,FALSE,FALSE
496.1,FALSE,FALSE
496.2,FALSE,FALSE
496.21,FALSE,FALSE
496.3,FALSE,FALSE
497,FALSE,FALSE
498,FALSE,FALSE
499,FALSE,FALSE
500,FALSE,FALSE
500.1,FALSE,FALSE
500.2,FALSE,FALSE
501,FALSE,FALSE
502,FALSE,FALSE
503,FALSE,FALSE
504,FALSE,FALSE
504.1,FALSE,FALSE
505,FALSE,FALSE
506,FALSE,FALSE
507,FALSE,FALSE
508,FALSE,FALSE
509,FALSE,FALSE
509.1,FALSE,FALSE
509.2,FALSE,FALSE
509.3,FALSE,FALSE
509.5,FALSE,FALSE
509.8,FALSE,FALSE
510,FALSE,FALSE
510.2,FALSE,FALSE
512,FALSE,FALSE
512.1,FALSE,FALSE
512.2,FALSE,FALSE
512.3,FALSE,FALSE
512.7,FALSE,FALSE
512.8,FALSE,FALSE
512.9,FALSE,FALSE
513,FALSE,FALSE
513.3,FALSE,FALSE
513.31,FALSE,FALSE
513.32,FALSE,FALSE
513.4,FALSE,FALSE
513.8,FALSE,FALSE
514,FALSE,FALSE
514.1,FALSE,FALSE
514.2,FALSE,FALSE
