"","code","phecode_unrolled"
"1071","535","535"
"1072","535.1","535.1"
"1073","535.2","535.2"
"1074","535.6","535.6"
"1075","535.8","535.8"
"1076","535.9","535.9"
"1077","536","536"
"1078","536.3","536.3"
"1079","536.7","536.7"
"1080","536.8","536.8"
"1081","537","537"
"1082","537.1","537.1"
"1083","539","539"
"1084","540","540"
"1085","540.1","540.1"
"1086","540.11","540.11"
"1087","550","550"
"1088","550.1","550.1"
"1089","550.2","550.2"
"1090","550.3","550.3"
"1091","550.4","550.4"
"1092","550.5","550.5"
"1093","550.6","550.6"
"1094","555","555"
"1095","555.1","555.1"
"1096","555.2","555.2"
"1097","555.21","555.21"
"1098","556","556"
"1099","556.1","556.1"
"1100","556.11","556.11"
"1101","557","557"
"1102","557.1","557.1"
"1103","558","558"
"1104","559","559"
"1105","560","560"
"1106","560.1","560.1"
"1107","560.2","560.2"
"1108","560.3","560.3"
"1109","560.4","560.4"
"1110","561","561"
"1111","561.1","561.1"
"1112","561.2","561.2"
"1113","562","562"
"1114","562.1","562.1"
"1115","562.2","562.2"
"1116","563","563"
"1117","564","564"
"1118","564.1","564.1"
"1119","564.8","564.8"
"1120","564.9","564.9"
"1121","565","565"
"1122","565.1","565.1"
"1123","567","567"
"1124","568","568"
"1125","568.1","568.1"
"1126","569","569"
"1127","569.1","569.1"
"1128","569.2","569.2"
"1129","571","571"
"1130","571.5","571.5"
"1131","571.51","571.51"
"1132","571.6","571.6"
"1133","571.8","571.8"
"1134","571.81","571.81"
"1135","572","572"
"1136","573","573"
"1137","573.1","573.1"
"1138","573.2","573.2"
"1139","573.3","573.3"
"1140","573.4","573.4"
"1141","573.5","573.5"
"1142","573.6","573.6"
"1143","573.7","573.7"
"1144","573.9","573.9"
"1145","574","574"
"1146","574.1","574.1"
"1147","574.11","574.11"
"1148","574.12","574.12"
"1149","574.2","574.2"
"1150","574.3","574.3"
"1151","575","575"
"1152","575.1","575.1"
"1153","575.2","575.2"
"1154","575.6","575.6"
"1155","575.7","575.7"
"1156","575.8","575.8"
"1157","575.9","575.9"
"1158","577","577"
"1159","577.1","577.1"
"1160","577.2","577.2"
"1161","577.3","577.3"
"1162","578","578"
"1163","578.1","578.1"
"1164","578.2","578.2"
"1165","578.8","578.8"
"1166","578.9","578.9"
"1167","579","579"
"1168","579.2","579.2"
"1169","579.8","579.8"
"1170","580","580"
"1171","580.1","580.1"
"1172","580.11","580.11"
"1173","580.12","580.12"
"1174","580.13","580.13"
"1175","580.14","580.14"
"1176","580.2","580.2"
"1177","580.3","580.3"
"1178","580.31","580.31"
"1179","580.32","580.32"
"1180","580.4","580.4"
"1181","585","585"
"1182","585.1","585.1"
"1183","585.2","585.2"
"1184","585.3","585.3"
"1185","585.31","585.31"
"1186","585.32","585.32"
"1187","585.33","585.33"
"1188","585.34","585.34"
"1189","585.4","585.4"
"1190","586","586"
"1191","586.1","586.1"
"1192","586.11","586.11"
"1193","586.12","586.12"
"1194","586.2","586.2"
"1195","586.3","586.3"
"1196","586.4","586.4"
"1197","587","587"
"1198","588","588"
"1199","588.1","588.1"
"1200","588.2","588.2"
"1201","589","589"
"1202","590","590"
"1203","591","591"
"1204","592","592"
"1205","592.1","592.1"
"1206","592.11","592.11"
"1207","592.12","592.12"
"1208","592.13","592.13"
"1209","592.2","592.2"
"1210","592.21","592.21"
"1211","592.3","592.3"
"1212","593","593"
"1213","593.1","593.1"
"1214","593.2","593.2"
"1215","594","594"
"1216","594.1","594.1"
"1217","594.2","594.2"
"1218","594.3","594.3"
"1219","594.8","594.8"
"1220","595","595"
"1221","596","596"
"1222","596.1","596.1"
"1223","596.5","596.5"
"1224","597","597"
"1225","597.1","597.1"
"1226","597.2","597.2"
"1227","597.8","597.8"
"1228","598","598"
"1229","598.4","598.4"
"1230","598.9","598.9"
"1231","599","599"
"1232","599.1","599.1"
"1233","599.2","599.2"
"1234","599.3","599.3"
